Type,Trans Date,Post Date,Description,Amount,Kind
Sale,2016-12-23,2016-12-25,H2O WIRELESS,-36.0,Phone
Return,2016-12-23,2016-12-25,SKR*AbeBooks.co 3TKZCQ,24.96,Study
Sale,2016-12-23,2016-12-25,MICROSOFT   *STORE,-3.12,Goods
Sale,2016-12-23,2016-12-25,85C BAKERY CAFE USA,-20.7,Foods
Sale,2016-12-23,2016-12-25,KIPLING ECOMMERCE,-32.69,Goods
Sale,2016-12-23,2016-12-25,99 RANCH #1769,-62.39,Groceries
Sale,2016-12-22,2016-12-25,STARBUCKS STORE 06677,-2.45,Coffee
Sale,2016-12-22,2016-12-23,60774 - SFO PARKING IT-A,-12.0,Auto
Sale,2016-12-22,2016-12-23,BEST BUY      00008730,-277.48,Goods
Sale,2016-12-21,2016-12-22,A&amp;A GAS,-23.95,Auto
Return,2016-12-21,2016-12-21,AMAZON MKTPLACE PMTS,15.12,Goods
Sale,2016-12-20,2016-12-20,APL* ITUNES.COM/BILL,-0.99,Phone
Sale,2016-12-20,2016-12-21,ADIDAS ONLINE STORE,-47.96,Goods
Sale,2016-12-19,2016-12-20,SQ *TEAVEN,-4.15,Foods
Sale,2016-12-19,2016-12-20,99 RANCH #1769,-62.56,Groceries
Sale,2016-12-19,2016-12-21,OFFICE DEPOT  1135,-49.04,Goods
Sale,2016-12-19,2016-12-20,99 RANCH #1769,-9.43,Groceries
Sale,2016-12-18,2016-12-19,TARGET        00010546,-32.99,Goods
Sale,2016-12-18,2016-12-20,85C BAKERY CAFE USA,-12.24,Foods
Sale,2016-12-18,2016-12-19,EKITCHENBUY INC,-84.99,Groceries
Sale,2016-12-18,2016-12-19,SKR*AbeBooks.co 3TKZCQ,-24.96,Study
Sale,2016-12-18,2016-12-20,85C BAKERY CAFE USA,-29.33,Foods
Sale,2016-12-17,2016-12-19,TOGOS BASKIN-ROBBINS PALO,-20.55,Foods
Return,2016-12-17,2016-12-19,IKEA EAST PALO ALTO,43.59,Furniture
Sale,2016-12-17,2016-12-19,IKEA EAST PALO ALTO,-130.77,Furniture
Sale,2016-12-16,2016-12-19,WASHINGTON CAFE INC,-36.0,Foods
Sale,2016-12-16,2016-12-18,SQ *COOL TEA BAR  WAVERLY,-4.91,Coffee
Sale,2016-12-16,2016-12-18,SQ *COOL TEA BAR  WAVERLY,-4.91,Coffee
Sale,2016-12-15,2016-12-18,KUKJE SUPER MARKET,-69.53,Groceries
Sale,2016-12-14,2016-12-15,Amazon Digital Svcs,-9.99,Goods
Sale,2016-12-14,2016-12-15,SKR*AbeBooks.co 3THH2E,-20.54,Study
Sale,2016-12-14,2016-12-15,UDACITY,-800.0,Study
Sale,2016-12-14,2016-12-16,SUBWAY        00301960,-5.71,Foods
Sale,2016-12-14,2016-12-15,AMAZON MKTPLACE PMTS,-15.12,Goods
Sale,2016-12-14,2016-12-15,COSTCO.COM  *ONLINE,-87.19,Groceries
Sale,2016-12-14,2016-12-15,KAISER PHARM 2941,-10.0,Medical
Sale,2016-12-14,2016-12-15,COSTCO.COM  *ONLINE,-118.79,Groceries
Sale,2016-12-11,2016-12-13,IKEA EAST PALO ALTO,-139.44,Furniture
Sale,2016-12-11,2016-12-11,AMAZON MKTPLACE PMTS,-12.58,Goods
Sale,2016-12-11,2016-12-11,Amazon.com,-16.33,Goods
Sale,2016-12-10,2016-12-11,A&amp;A GAS,-18.56,Auto
Sale,2016-12-10,2016-12-12,85C BAKERY CAFE USA,-19.05,Foods
Sale,2016-12-09,2016-12-12,KUKJE DELI &amp; SUSHI,-24.96,Groceries
Sale,2016-12-09,2016-12-12,KUKJE SUPER MARKET,-53.95,Groceries
Sale,2016-12-08,2016-12-08,Amazon.com,-6.16,Goods
Sale,2016-12-08,2016-12-08,PURITANS PRIDE,-26.34,Medical
Sale,2016-12-07,2016-12-08,STATE OF CALIF DMV INT SC,-105.0,Auto
Sale,2016-12-07,2016-12-09,WALGREENS #6655,-4.89,Groceries
Return,2016-12-06,2016-12-07,WWW.NEWEGG.COM,59.11,Goods
Payment,2016-12-06,2016-12-06,Payment Thank You - Web,362.82,Payment
Sale,2016-12-06,2016-12-07,PHO HUYNH HIEP 4,-20.26,Foods
Payment,2016-12-04,2016-12-04,Payment Thank You - Web,2325.46,Payment
Sale,2016-12-04,2016-12-05,SQ *TEAVEN,-4.55,Foods
Sale,2016-12-04,2016-12-07,KUKJE SUPER MARKET,-71.38,Groceries
Sale,2016-12-04,2016-12-05,99 RANCH #1769,-9.43,Groceries
Sale,2016-12-04,2016-12-05,99 RANCH #1769,-1.29,Groceries
Return,2016-12-04,2016-12-04,AmazonPrime Membership,11.98,Goods
